Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2016-06-10,-1.05,-0.39,-0.18,0.18,0.61,0.00,1.52
2016-06-13,-0.84,-0.36,0.12,-0.22,-0.01,0.00,0.30
2016-06-14,-0.19,0.14,-0.72,0.33,0.03,0.00,0.73
2016-06-15,-0.11,0.23,-0.03,-0.09,0.02,0.00,-0.59
2016-06-16,0.24,-0.32,-0.44,0.25,0.31,0.00,0.44
2016-06-17,-0.30,0.07,0.95,0.42,0.62,0.00,-1.02
2016-06-20,0.71,0.60,0.01,-0.18,0.10,0.00,-0.37
2016-06-21,0.21,-0.61,0.51,-0.19,-0.01,0.00,0.45
2016-06-22,-0.20,-0.31,0.07,0.10,-0.01,0.00,0.12
2016-06-23,1.45,0.56,0.47,-0.56,-0.18,0.00,-1.08
2016-06-24,-3.69,0.02,-1.21,0.98,0.07,0.00,2.04
2016-06-27,-2.06,-1.06,-0.72,0.62,0.43,0.00,2.77
2016-06-28,1.76,-0.37,0.16,-0.63,-0.57,0.00,-1.44
2016-06-29,1.79,0.31,-0.04,-0.13,-0.26,0.00,-0.92
2016-06-30,1.42,0.39,0.42,-0.11,0.38,0.00,0.63
2016-07-01,0.24,0.46,-0.43,-0.07,0.23,0.00,-0.95
2016-07-05,-0.84,-0.83,-1.38,0.61,-0.71,0.00,1.94
2016-07-06,0.62,0.18,-0.12,-0.05,-0.15,0.00,-0.43
2016-07-07,0.02,0.32,-0.18,0.14,-0.27,0.00,-0.57
2016-07-08,1.59,0.97,0.33,0.02,0.29,0.00,-0.61
2016-07-11,0.42,0.68,0.28,0.32,-0.11,0.00,-0.22
2016-07-12,0.75,0.74,0.98,-0.58,0.65,0.00,-1.52
2016-07-13,-0.04,-0.46,0.48,0.51,-0.01,0.00,0.86
2016-07-14,0.51,-0.41,0.46,-0.01,0.02,0.00,-0.61
2016-07-15,-0.05,0.29,0.01,-0.29,-0.01,0.00,-0.13
2016-07-18,0.24,0.01,-0.14,0.04,-0.22,0.00,-0.70
2016-07-19,-0.22,-0.64,0.04,0.45,-0.24,0.00,0.63
2016-07-20,0.48,0.39,-0.89,-0.05,-0.35,0.00,-0.80
2016-07-21,-0.38,-0.06,-0.03,0.15,0.04,0.00,-0.31
2016-07-22,0.48,0.28,-0.13,0.40,-0.26,0.00,0.33
2016-07-25,-0.27,-0.05,-0.23,0.44,-0.41,0.00,-0.08
2016-07-26,0.13,0.61,0.54,-0.53,0.75,0.00,-0.26
2016-07-27,-0.14,0.50,-0.43,-0.14,-0.56,0.00,-0.88
2016-07-28,0.19,-0.52,-0.33,-0.11,-0.13,0.00,0.19
2016-07-29,0.17,-0.05,0.03,-0.02,0.35,0.00,0.19
2016-08-01,-0.16,0.07,-0.90,0.47,-0.75,0.00,-0.07
2016-08-02,-0.70,-0.61,0.17,-0.42,0.13,0.00,0.44
2016-08-03,0.45,0.60,0.80,-0.70,0.15,0.00,-1.55
2016-08-04,0.05,0.07,-0.38,0.17,0.07,0.00,0.50
2016-08-05,0.92,0.55,1.00,-0.57,-0.33,0.00,-1.34
2016-08-08,-0.06,0.11,0.50,0.06,0.44,0.00,-0.45
2016-08-09,0.05,-0.07,-0.28,-0.20,-0.23,0.00,0.44
2016-08-10,-0.29,-0.47,-0.18,0.62,0.03,0.00,0.80
2016-08-11,0.54,0.15,0.03,-0.32,0.21,0.00,-0.73
2016-08-12,-0.06,0.13,-0.17,-0.14,-0.26,0.00,-0.28
2016-08-15,0.38,0.81,0.39,-0.27,0.39,0.00,-1.05
2016-08-16,-0.57,-0.21,0.58,-0.12,0.32,0.00,-0.35
2016-08-17,0.12,-0.51,0.24,0.01,0.07,0.00,0.41
2016-08-18,0.32,0.49,0.34,-0.46,0.36,0.00,0.04
2016-08-19,-0.11,0.07,-0.13,0.22,-0.12,0.00,-0.25
2016-08-22,-0.02,0.23,-0.40,0.01,-0.39,0.00,0.25
2016-08-23,0.26,0.55,-0.01,-0.02,0.06,0.00,-0.43
2016-08-24,-0.55,-0.45,0.37,0.42,-0.08,0.00,0.38
2016-08-25,-0.08,0.21,0.48,-0.26,0.29,0.00,0.41
2016-08-26,-0.15,0.11,-0.08,-0.39,-0.21,0.00,-0.44
2016-08-29,0.53,0.00,0.34,-0.08,0.19,0.00,-0.17
2016-08-30,-0.14,0.22,0.28,-0.12,-0.33,0.00,-0.45
2016-08-31,-0.24,-0.35,0.15,0.25,-0.37,0.00,0.22
2016-09-01,0.03,0.05,-0.51,0.10,-0.14,0.00,0.64
2016-09-02,0.53,0.43,0.36,-0.15,0.21,0.00,0.02
2016-09-06,0.27,0.03,-0.55,-0.60,-0.04,0.00,-0.04
2016-09-07,0.09,0.61,0.02,-0.05,-0.23,0.00,-0.64
2016-09-08,-0.18,0.04,0.59,-0.84,0.39,0.00,-0.60
2016-09-09,-2.46,-0.57,0.43,0.00,-0.44,0.00,-0.19
2016-09-12,1.44,-0.04,-0.44,-0.15,-0.19,0.00,-0.21
2016-09-13,-1.48,-0.31,-0.43,0.55,-0.71,0.00,0.20
2016-09-14,-0.08,0.05,-0.81,0.09,-0.48,0.00,0.37
2016-09-15,1.07,0.30,-0.32,0.07,-0.18,0.00,0.08
2016-09-16,-0.36,0.29,-0.44,0.21,-0.19,0.00,0.10
2016-09-19,0.05,0.51,0.15,-0.09,0.35,0.00,0.03
2016-09-20,-0.01,-0.35,-0.40,-0.55,-0.11,0.00,-0.03
2016-09-21,1.12,0.21,0.33,-0.37,0.53,0.00,0.59
2016-09-22,0.70,0.81,-0.06,0.08,0.13,0.00,-0.19
2016-09-23,-0.59,-0.05,-0.20,0.52,-0.52,0.00,-0.35
2016-09-26,-0.88,-0.30,-0.36,-0.15,0.19,0.00,0.40
2016-09-27,0.64,-0.13,-0.49,-0.04,-0.39,0.00,0.01
2016-09-28,0.56,0.23,1.10,-0.90,1.14,0.00,0.30
2016-09-29,-0.98,-0.39,0.50,0.27,0.68,0.00,0.38
2016-09-30,0.88,0.43,0.34,-0.19,0.09,0.00,-0.36
2016-10-03,-0.26,-0.03,-0.14,0.05,0.16,0.00,-0.08
2016-10-04,-0.45,0.06,0.14,0.11,-0.32,0.00,-0.52
2016-10-05,0.58,0.42,0.80,-0.49,0.44,0.00,-0.74
2016-10-06,-0.06,-0.22,0.28,0.45,0.24,0.00,0.76
2016-10-07,-0.38,-0.54,0.20,-0.28,-0.36,0.00,0.15
2016-10-10,0.52,0.57,0.05,-0.53,-0.20,0.00,0.09
2016-10-11,-1.30,-0.56,0.43,0.40,0.08,0.00,0.05
2016-10-12,0.06,-0.22,0.34,0.67,0.13,0.00,0.51
2016-10-13,-0.41,-0.75,-0.62,0.33,-0.17,0.00,0.13
2016-10-14,0.01,-0.36,0.58,0.07,0.10,0.00,0.33
2016-10-17,-0.29,-0.02,0.15,0.10,0.13,0.00,0.48
2016-10-18,0.60,-0.17,0.05,-0.30,-0.31,0.00,-0.31
2016-10-19,0.24,0.14,0.93,-0.11,0.50,0.00,-0.33
2016-10-20,-0.16,-0.04,-0.11,-0.48,-0.05,0.00,-0.43
2016-10-21,0.02,-0.18,-0.33,0.17,-0.19,0.00,-0.24
2016-10-24,0.54,0.06,-0.19,0.60,-0.49,0.00,0.37
