Date,AAPL,AMZN,ASML,BAC,BRK-B,FCX,GOOGL,JNJ,JPM,MSFT,MSTR,NEE,NEM,NFLX,NVDA,NVO,O,PG,PLUG,RIG,SPG,TM,URBN,WMT,XOM
2011-08-04,10482744997.239193,167493899796.45645,99194972711.89003,4572944626.822829,188553218.59788895,9749572225.662231,189274494.57859993,117066197.95724487,43182182278.63312,69060067538.56659,107853602040.55789,110994230742.79286,3637389591.7892456,204940694396.97266,33157865487.3349,19000298373.091698,15884366708.291466,1879124308.3439484,43568889.96591747,13889385585.568947,4693717418.237743,151675877.2354126,13914187566.440582,183867494096.8324,20686624253.396988
2011-08-05,10378576180.579615,165815172035.38028,98357940628.68753,4600634622.772551,182221184.040308,9775232668.15567,185685718.688488,117494955.0,43828607077.59857,63898116001.39618,109681950046.64104,112555771792.14395,3659565495.2049255,207660709899.90234,32583986057.17964,18989819416.033936,15589312355.34858,1844097421.440751,41930694.54038143,14087510736.457008,4724258508.659805,142113121.68884277,14002169414.001465,183915068738.74127,20067804773.561954
2011-08-08,9811618747.128548,158066720803.78043,89097637357.78087,4396363813.103843,167868662.63997555,9217796707.134247,174541926.8400669,109909318.31625366,42165107979.774475,50915155156.26526,107328626368.29773,109701954072.05968,3476621989.631653,194810256530.76172,29679118962.47944,18892103234.467793,14285907904.475475,1723041573.2188883,38530909.08076286,12669752044.344147,4405985971.102451,128034622.22671509,13021766405.574799,175102869246.44806,19327457717.99612
2011-08-09,10389409581.903084,165169377211.19553,95218839774.39922,4654879966.838336,181939836.31497622,9680189331.493378,183136575.90150833,120265362.86325073,43802763113.975525,59440105893.26477,109012114463.21892,111640431799.88753,3599274645.3285217,198834703491.21094,31917999396.11824,19335357166.171837,15910151785.990799,1925825049.6376877,33317903.448457718,13632079085.73027,4560300123.811518,136390963.49334717,14056637596.748352,183392497402.53995,20527702068.453312
2011-08-10,10102737783.574701,156258776548.88168,89908580979.22458,4406123256.355262,173637855.373621,9268273033.45871,178993299.88980293,111475912.68374634,42027403125.76294,52948656759.33838,105916661510.62253,108050700044.32133,3478006758.9759827,190062099792.48047,30855246184.587708,19478443102.70958,15453240612.08543,1889569953.6622353,31731335.45961857,13073723615.085606,4401163548.438482,125865293.12896729,13616713287.967682,174414056301.431,19443361389.711857
2011-08-11,10380803336.209568,162651189687.93857,95977465172.21892,4502130653.784299,188693901.60888433,9489761461.658478,187241370.30911446,118302986.95724487,43173348269.462585,56702744692.977905,109428529057.33838,113866070506.07681,3634617653.8467407,199980126037.59766,32463537583.552094,20347491617.537403,16404298993.83918,1973754604.9731789,35584427.98883915,13835350122.618614,4539403265.528677,132583573.01330566,14588736833.595276,178475696962.80267,19994885285.596848
2011-08-12,10472192753.315615,162070051051.48645,93937024703.4917,4591555708.477449,181236219.99675035,9517447677.34909,187911353.8017273,117940193.50424194,43190720491.4093,56233487311.50055,110677552719.716,113722469109.65341,3651248481.7504883,201153542846.6797,32165968998.484726,20047334782.06978,16365625854.254795,1945489220.1471004,38077602.01116085,14308789934.381428,4770874341.295097,135715816.92886353,14856877968.61267,176718065825.4947,20303363838.442326
2011-08-15,10650527001.838238,164717391147.47083,96474492015.07088,4606308727.753758,188130950.00499487,9407042713.77182,189667279.42204475,119622233.5897522,43390396351.81427,60691487792.3584,112017129549.42563,115930158947.99243,3793308301.925659,207551281188.96484,33072841759.170685,20598781992.44795,16736324120.571648,2022301108.2014322,41250737.98883915,14733347489.088928,4772481815.51642,141039524.33776855,15003521916.70227,180803460925.1543,21036225841.90178
2011-08-16,10569135471.14089,164717375167.19705,94250948918.93118,4486696672.645211,182784062.4575615,9099286704.780579,184091521.19922638,118368950.54699707,45074614491.46271,57875900180.763245,111546471102.89928,115517282719.32977,3789842979.621887,205344194030.76172,32598145830.909805,20494079839.509964,16912297930.205963,2005708609.814701,41477390.17268658,14347387739.330914,4475105829.647549,138017962.95547485,14685102330.337524,179140794928.7316,20785706481.230736
2011-08-17,10568024103.68283,164067633215.38748,95663570704.17027,4446977504.870296,180251164.46989775,9000527180.271149,178854642.7271366,119358379.23074341,44753399548.53058,58345172003.15094,111636950896.90434,115337888123.41931,3814789621.3531494,207188086547.85156,33023253624.10034,20612739055.593395,16959899256.473549,2017998081.1651125,40797430.91923714,14537792841.236095,4340081061.0,132716389.94216919,14655777559.646606,177383098026.09058,20806272290.245056
2011-08-18,10168293433.173162,160298989268.48264,92053613274.11359,4142613959.5023394,168009327.35431194,8523280183.124542,167487557.32226372,114708053.09399414,44961753211.02142,54825691098.88458,110170679295.39917,113363481299.0269,3782912335.0143433,198192165832.51953,30359285284.59366,20389370246.77286,16257445600.542274,1985431000.2356071,36717688.90807629,13567750630.796917,4182552266.442646,119534402.11105347,13847148514.94217,169996125371.87354,19817282960.78539
2011-08-19,9889955564.566074,156270394207.9231,89856262755.60057,4061132305.457711,162310392.0176062,8287610693.881989,158038061.4042282,112679726.1795044,45404503912.92572,54512848030.929565,110351712256.73624,113327573109.70505,3762125199.699402,195007171997.0703,29714550939.696465,20968733443.391705,15904055279.426502,1968839348.8061714,35811080.17268658,13233253400.989094,4171300253.4877434,117232256.08444214,13780111975.273132,167929647077.6226,19864016413.879395
2011-08-22,9901341555.118889,155815515714.6434,87397313682.11981,4029583814.223218,165216177.1445158,8410002293.037415,158038061.4042282,111805730.63250732,45309004883.766174,50211252236.320496,111709412298.19687,113596795673.83755,3751036248.3024597,196068892822.26562,29473663032.133484,21938989265.521812,15934346422.0107,1984816351.2269325,36037732.356534004,12968228072.149994,4344903483.663969,118671097.35107422,13809441769.622803,167549589218.08228,19563018008.929253
2011-08-23,10378020054.779202,160623836273.97675,90981093408.24522,4392959003.789949,183066136.2957193,8758611719.169617,169074043.06721687,114757522.64099121,46194542846.67969,49272723032.455444,114080796296.8681,116612226379.92358,3819638913.2499695,205791221557.6172,30387622911.438217,21377083557.533455,16394473175.750698,2046266248.8508759,36491036.72422886,13397930292.87532,4245242228.1024513,125566462.95547485,14509131937.00409,173107706879.32733,19658362001.894474
