Date,AAPL,AMZN,ASML,BAC,BRK-B,FCX,GOOGL,JNJ,JPM,MSFT,MSTR,NEE,NEM,NFLX,NVDA,NVO,O,PG,PLUG,RIG,SPG,TM,URBN,WMT,XOM
2019-08-08,220109997360.45837,997884954936.7004,298207613191.9861,45332503528.964386,2422047918.319702,41514689814.949036,14284840118.999481,329517731.3410034,94750852584.83887,224012477552.71024,253396073112.4878,287811358284.2539,22003783491.516113,425891542098.999,13551242080.309134,26780346912.06236,33093129169.13022,16026285023.979889,485341200.7591686,2802059731.4231014,2190258182.552805,144618374.40490723,88385564318.84766,308348603480.46875,52652264106.75049
2019-08-09,218296232990.57007,989407548714.5905,297881921730.80444,44706514892.79434,2332792871.4752197,40919604105.3772,13969659976.301193,327102054.81500244,93668213966.36963,223617855520.51862,251971963703.15552,288598202999.0985,22132607388.305664,416830063533.78296,13055790213.261246,26603140703.501987,33050464963.055557,16179893695.682266,526604161.5337801,2649108870.1731014,2100616002.04813,145061696.8536377,86762699035.64453,307466534883.8043,52236607647.70508
2019-08-12,217742265209.0454,975612467114.9856,292290205213.1653,44146071801.58066,2291486962.7952576,40423980433.273315,14055577267.799377,324029036.84399414,91869562061.30981,218171478486.85284,250353776447.29614,288357788292.7357,22027302458.190918,414804634654.9988,12747807218.578321,26214610352.001617,32643071833.747055,16193244637.86821,516525622.1854334,2655227044.653797,2083683575.399065,145102943.6969757,86144082006.83594,305678691745.78094,52309349604.79736
2019-08-13,226963327348.48022,995801691455.8441,296796092860.4126,45121039139.25114,2361086232.662201,41189094413.56659,14121145749.797821,326658352.473999,93781707046.50879,218802941204.22174,252986140090.94238,291614501478.3744,22044686602.783203,419927796283.7219,13243260469.303286,25669333293.04042,33137913218.195114,16090842498.561493,531643431.20795345,2630754930.1922464,2178305993.139715,143030631.4945221,88052159545.89844,308515452704.7043,53888817382.04956
2019-08-14,220207761451.11084,965813404334.1355,284472640232.8491,43602939708.45051,2270607356.071472,40071199571.22803,13525604327.602386,321777701.94799805,92725247352.6001,208541596591.73615,249835944900.5127,284707672884.9098,21977205401.61133,403009292072.29614,12533560043.754955,25880632414.806557,32446832573.897736,15977302434.672485,506447082.8370867,2386033493.846123,2016949916.25,142226450.78659058,83842363928.22266,301506964114.6164,52298961193.08472
2019-08-15,219110790085.14404,963651207292.0532,285558369625.09155,43928421947.32437,2250937965.631485,40245696974.94507,13374119416.599274,325885991.94799805,98391780639.64844,207199771606.40402,253288135837.55493,285319683353.91284,22201105227.661133,400626326602.9358,12038108176.707067,26255512152.14367,31986157096.393845,16075260329.63089,506447082.8370867,2361561233.519264,1978105015.6925201,140618089.37072754,84300293688.96484,303604713317.23785,52724996833.80127
2019-08-16,224280667599.10583,981312285785.2051,292398760743.7134,44335277576.36112,2414193746.5667725,40586095055.58014,13692464910.497665,328203073.526001,98653723106.38428,213356581924.73022,257150376045.22705,287111960895.1827,22239958486.938477,406881473304.74854,12185401985.160507,26296415516.109085,32141880383.91307,16208830448.627014,526604161.5337801,2569574352.3077536,2042846579.947195,141587227.9548645,85501391491.69922,307013615198.4329,54160259057.61719
2019-08-19,228462181359.7107,997747826078.305,295031847880.5542,44917733977.32437,2583955946.445465,41316785062.40845,13990008785.800934,330207921.05200195,99369681671.14258,215250952322.66266,259437538032.53174,289057246087.5121,22386159161.376953,413732300193.7866,12386263467.947363,25989695020.18628,32433862730.959717,16337946611.732956,561879109.3258266,2820413963.1345725,2076711433.245325,144082253.93295288,86642194970.70312,309039900810.25696,53698964658.35571
2019-08-20,228472990403.0609,989458112796.6156,291285873816.6809,44553172735.80063,2539927014.8277283,40734775802.993774,13520178380.89943,325623055.3699951,97832961288.45215,210909595097.5003,256546268302.91748,285450864410.1903,22403535939.02588,411230186450.95825,12305916107.478468,26289587863.292408,31906125925.823914,16144270546.159943,556839839.6516533,2808177905.903797,2082687527.95187,144865806.3030243,86240499572.7539,307585756120.70465,53761867391.204834
2019-08-21,230949312927.78015,1000487257554.4739,292100177078.2471,45101252445.78003,2590764810.562134,41011840867.996216,13466819357.099533,327414288.8670044,97806793308.25806,212567213581.12692,257193523830.41382,287483516387.3529,22621308309.936523,415340725410.4614,12238965508.462694,26262330422.02015,31875859015.808212,16173209726.990158,554320204.8145666,2802059731.4231014,2227111178.19252,145257587.4042511,87180458605.95703,309612020122.7341,54328001216.88843
